image_path,age
/Users/geko/COSE471_data-science/AFF/aglined_faces/00000A02.jpg,2
/Users/geko/COSE471_data-science/AFF/aglined_faces/00001A02.jpg,2
/Users/geko/COSE471_data-science/AFF/aglined_faces/00002A02.jpg,2
/Users/geko/COSE471_data-science/AFF/aglined_faces/00003A02.jpg,2
/Users/geko/COSE471_data-science/AFF/aglined_faces/00004A02.jpg,2
/Users/geko/COSE471_data-science/AFF/aglined_faces/00005A02.jpg,2
/Users/geko/COSE471_data-science/AFF/aglined_faces/00006A02.jpg,2
/Users/geko/COSE471_data-science/AFF/aglined_faces/00007A02.jpg,2
/Users/geko/COSE471_data-science/AFF/aglined_faces/00008A02.jpg,2
/Users/geko/COSE471_data-science/AFF/aglined_faces/00009A02.jpg,2
/Users/geko/COSE471_data-science/AFF/aglined_faces/00010A02.jpg,2
/Users/geko/COSE471_data-science/AFF/aglined_faces/00011A02.jpg,2
/Users/geko/COSE471_data-science/AFF/aglined_faces/00012A02.jpg,2
/Users/geko/COSE471_data-science/AFF/aglined_faces/00013A02.jpg,2
/Users/geko/COSE471_data-science/AFF/aglined_faces/00014A02.jpg,2
/Users/geko/COSE471_data-science/AFF/aglined_faces/00015A02.jpg,2
/Users/geko/COSE471_data-science/AFF/aglined_faces/00016A02.jpg,2
/Users/geko/COSE471_data-science/AFF/aglined_faces/00017A02.jpg,2
/Users/geko/COSE471_data-science/AFF/aglined_faces/00018A02.jpg,2
/Users/geko/COSE471_data-science/AFF/aglined_faces/00019A02.jpg,2
/Users/geko/COSE471_data-science/AFF/aglined_faces/00020A02.jpg,2
/Users/geko/COSE471_data-science/AFF/aglined_faces/00021A02.jpg,2
/Users/geko/COSE471_data-science/AFF/aglined_faces/00022A02.jpg,2
/Users/geko/COSE471_data-science/AFF/aglined_faces/00023A02.jpg,2
/Users/geko/COSE471_data-science/AFF/aglined_faces/00024A02.jpg,2
/Users/geko/COSE471_data-science/AFF/aglined_faces/00025A02.jpg,2
